Average Removal Rate: 1.75%
Average Total Lines: 14081.80
Total Lines Across All Files: 7843565
Average Characters per Line Across All Files: 26.55

File Statistics (Lines Removed, Total Lines, Avg Characters per Line):
paper_223.txt: 3.88% removed, 11891 total lines, 35.77 avg chars/line
paper_714.txt: 1.11% removed, 19386 total lines, 36.85 avg chars/line
paper_13.txt: 1.80% removed, 21023 total lines, 25.25 avg chars/line
paper_310.txt: 4.70% removed, 6259 total lines, 11.52 avg chars/line
paper_595.txt: 4.69% removed, 4519 total lines, 40.84 avg chars/line
paper_521.txt: 0.63% removed, 25195 total lines, 23.58 avg chars/line
paper_611.txt: 7.58% removed, 2770 total lines, 21.04 avg chars/line
paper_99.txt: 6.48% removed, 10817 total lines, 38.15 avg chars/line
paper_594.txt: 3.00% removed, 19246 total lines, 22.71 avg chars/line
paper_370.txt: 2.01% removed, 13112 total lines, 25.51 avg chars/line
paper_722.txt: 0.98% removed, 7625 total lines, 26.18 avg chars/line
paper_259.txt: 2.35% removed, 9052 total lines, 43.70 avg chars/line
paper_424.txt: 0.44% removed, 11530 total lines, 24.22 avg chars/line
paper_192.txt: 0.54% removed, 15032 total lines, 17.91 avg chars/line
paper_169.txt: 0.50% removed, 42514 total lines, 6.83 avg chars/line
paper_401.txt: 1.36% removed, 18148 total lines, 36.81 avg chars/line
paper_483.txt: 0.61% removed, 17770 total lines, 23.38 avg chars/line
paper_390.txt: 0.81% removed, 19817 total lines, 22.70 avg chars/line
paper_165.txt: 7.72% removed, 15873 total lines, 38.37 avg chars/line
paper_415.txt: 0.52% removed, 23961 total lines, 13.86 avg chars/line
paper_653.txt: 6.42% removed, 6433 total lines, 29.35 avg chars/line
paper_117.txt: 3.19% removed, 8519 total lines, 41.65 avg chars/line
paper_444.txt: 0.49% removed, 12741 total lines, 13.67 avg chars/line
paper_304.txt: 0.85% removed, 9757 total lines, 50.95 avg chars/line
paper_378.txt: 1.83% removed, 9417 total lines, 29.79 avg chars/line
paper_642.txt: 1.13% removed, 12770 total lines, 19.33 avg chars/line
paper_397.txt: 0.99% removed, 22302 total lines, 26.76 avg chars/line
paper_31.txt: 1.46% removed, 6624 total lines, 21.06 avg chars/line
paper_118.txt: 1.95% removed, 5292 total lines, 22.54 avg chars/line
paper_619.txt: 7.13% removed, 5061 total lines, 19.71 avg chars/line
paper_553.txt: 1.28% removed, 11617 total lines, 34.73 avg chars/line
paper_114.txt: 1.34% removed, 6796 total lines, 41.91 avg chars/line
paper_597.txt: 4.81% removed, 7064 total lines, 29.23 avg chars/line
paper_482.txt: 1.80% removed, 17419 total lines, 33.78 avg chars/line
paper_241.txt: 1.44% removed, 19534 total lines, 28.14 avg chars/line
paper_437.txt: 0.81% removed, 7501 total lines, 29.65 avg chars/line
paper_199.txt: 2.35% removed, 10504 total lines, 39.60 avg chars/line
paper_12.txt: 2.11% removed, 10850 total lines, 19.07 avg chars/line
paper_436.txt: 0.00% removed, 1 total lines, 180.00 avg chars/line
paper_188.txt: 0.97% removed, 15087 total lines, 39.06 avg chars/line
paper_563.txt: 0.99% removed, 20543 total lines, 11.25 avg chars/line
paper_405.txt: 1.83% removed, 9417 total lines, 29.79 avg chars/line
paper_391.txt: 8.46% removed, 10329 total lines, 40.30 avg chars/line
paper_577.txt: 0.61% removed, 8247 total lines, 13.32 avg chars/line
paper_602.txt: 1.45% removed, 22940 total lines, 21.17 avg chars/line
paper_399.txt: 0.00% removed, 1 total lines, 220.00 avg chars/line
paper_333.txt: 1.20% removed, 6945 total lines, 52.77 avg chars/line
paper_330.txt: 2.00% removed, 6856 total lines, 34.02 avg chars/line
paper_207.txt: 3.38% removed, 5292 total lines, 28.90 avg chars/line
paper_464.txt: 0.93% removed, 25357 total lines, 19.30 avg chars/line
paper_18.txt: 6.50% removed, 2370 total lines, 40.99 avg chars/line
paper_671.txt: 0.15% removed, 23906 total lines, 15.97 avg chars/line
paper_66.txt: 1.32% removed, 8939 total lines, 35.74 avg chars/line
paper_19.txt: 0.00% removed, 12114 total lines, 31.16 avg chars/line
paper_730.txt: 2.69% removed, 10250 total lines, 34.14 avg chars/line
paper_318.txt: 0.00% removed, 1 total lines, 182.00 avg chars/line
paper_538.txt: 1.65% removed, 8220 total lines, 29.54 avg chars/line
paper_507.txt: 0.68% removed, 13351 total lines, 32.74 avg chars/line
paper_559.txt: 5.98% removed, 10009 total lines, 36.71 avg chars/line
paper_512.txt: 0.00% removed, 1 total lines, 220.00 avg chars/line
paper_468.txt: 1.45% removed, 4270 total lines, 19.11 avg chars/line
paper_556.txt: 1.49% removed, 6250 total lines, 29.53 avg chars/line
paper_497.txt: 2.02% removed, 10129 total lines, 31.46 avg chars/line
paper_596.txt: 0.53% removed, 13123 total lines, 23.93 avg chars/line
paper_591.txt: 1.05% removed, 13339 total lines, 22.02 avg chars/line
paper_50.txt: 1.42% removed, 14059 total lines, 32.24 avg chars/line
paper_6.txt: 3.31% removed, 8191 total lines, 27.77 avg chars/line
paper_124.txt: 3.95% removed, 14013 total lines, 28.56 avg chars/line
paper_173.txt: 1.17% removed, 4277 total lines, 36.29 avg chars/line
paper_700.txt: 0.68% removed, 13351 total lines, 32.74 avg chars/line
paper_433.txt: 2.01% removed, 13112 total lines, 25.51 avg chars/line
paper_684.txt: 9.89% removed, 2567 total lines, 35.75 avg chars/line
paper_47.txt: 4.80% removed, 15109 total lines, 31.71 avg chars/line
paper_20.txt: 1.13% removed, 12770 total lines, 19.33 avg chars/line
paper_168.txt: 2.58% removed, 4076 total lines, 39.36 avg chars/line
paper_148.txt: 6.96% removed, 7768 total lines, 43.35 avg chars/line
paper_661.txt: 1.71% removed, 15456 total lines, 36.12 avg chars/line
paper_90.txt: 0.45% removed, 11823 total lines, 28.85 avg chars/line
paper_185.txt: 0.97% removed, 15087 total lines, 39.06 avg chars/line
paper_629.txt: 1.50% removed, 12932 total lines, 29.68 avg chars/line
paper_366.txt: 1.02% removed, 4915 total lines, 32.06 avg chars/line
paper_470.txt: 2.00% removed, 6856 total lines, 34.02 avg chars/line
paper_341.txt: 0.00% removed, 119 total lines, 8.37 avg chars/line
paper_651.txt: 0.93% removed, 25357 total lines, 19.30 avg chars/line
paper_709.txt: 0.54% removed, 9683 total lines, 30.19 avg chars/line
paper_440.txt: 5.24% removed, 18066 total lines, 39.09 avg chars/line
paper_455.txt: 1.65% removed, 15014 total lines, 22.68 avg chars/line
paper_145.txt: 1.74% removed, 4956 total lines, 31.00 avg chars/line
paper_163.txt: 0.00% removed, 255 total lines, 5.96 avg chars/line
paper_88.txt: 6.37% removed, 1208 total lines, 30.52 avg chars/line
paper_262.txt: 7.29% removed, 9176 total lines, 56.68 avg chars/line
paper_456.txt: 0.63% removed, 23758 total lines, 20.75 avg chars/line
paper_718.txt: 7.32% removed, 6940 total lines, 39.26 avg chars/line
paper_677.txt: 1.11% removed, 9101 total lines, 36.53 avg chars/line
paper_705.txt: 1.59% removed, 20535 total lines, 29.50 avg chars/line
paper_162.txt: 1.89% removed, 8031 total lines, 34.99 avg chars/line
paper_713.txt: 0.85% removed, 33599 total lines, 25.85 avg chars/line
paper_277.txt: 2.03% removed, 6552 total lines, 31.50 avg chars/line
paper_503.txt: 0.00% removed, 1 total lines, 521.00 avg chars/line
paper_141.txt: 1.09% removed, 15754 total lines, 36.01 avg chars/line
paper_312.txt: 0.29% removed, 37358 total lines, 8.41 avg chars/line
paper_423.txt: 2.56% removed, 12997 total lines, 42.46 avg chars/line
paper_184.txt: 1.32% removed, 25745 total lines, 19.98 avg chars/line
paper_68.txt: 2.58% removed, 4076 total lines, 39.36 avg chars/line
paper_337.txt: 6.63% removed, 9866 total lines, 35.67 avg chars/line
paper_38.txt: 6.42% removed, 6433 total lines, 29.35 avg chars/line
paper_628.txt: 1.88% removed, 5751 total lines, 27.18 avg chars/line
paper_155.txt: 1.84% removed, 10625 total lines, 36.28 avg chars/line
paper_195.txt: 1.35% removed, 12840 total lines, 27.57 avg chars/line
paper_142.txt: 0.00% removed, 223 total lines, 6.68 avg chars/line
paper_309.txt: 1.45% removed, 22940 total lines, 21.17 avg chars/line
paper_86.txt: 1.47% removed, 20245 total lines, 32.76 avg chars/line
paper_326.txt: 0.39% removed, 12692 total lines, 40.15 avg chars/line
paper_1.txt: 2.16% removed, 13842 total lines, 39.47 avg chars/line
paper_509.txt: 4.70% removed, 6259 total lines, 11.52 avg chars/line
paper_344.txt: 2.89% removed, 8560 total lines, 37.81 avg chars/line
paper_83.txt: 2.58% removed, 14613 total lines, 37.88 avg chars/line
paper_247.txt: 2.46% removed, 6475 total lines, 35.02 avg chars/line
paper_479.txt: 2.35% removed, 10504 total lines, 39.60 avg chars/line
paper_600.txt: 0.15% removed, 72676 total lines, 7.28 avg chars/line
paper_704.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_513.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_49.txt: 1.45% removed, 8293 total lines, 36.96 avg chars/line
