index,author,etos_author,translator,etos_translator,title,text_filename
312,"Bédier, Joseph",1864-1938,"Ventiris, Nikolaos",,Το μυθιστόρημα του Τριστάνου και της Ιζόλδης,book_312_B_dier_Joseph.txt
313,"Verne, Jules",1828-1905,,,Ο δεκαπενταετής πλοίαρχος,book_313_Verne_Jules.txt
314,"Verne, Jules",1828-1905,"Phermpos, Panagiotes I.",1851-1932,Ο Σάνσελλορ,book_314_Verne_Jules.txt
315,"Vikelas, Demetrios",1835-1908,,,Διηγήματα,book_315_Vikelas_Demetrios.txt
316,"Vikelas, Demetrios",1835-1908,,,Λουκής Λάρας,book_316_Vikelas_Demetrios.txt
317,"Shakespeare, William",1564-1616,"Vikelas, Demetrios",1835-1908,Μάκβεθ,book_317_Shakespeare_William.txt
318,"Shakespeare, William",1564-1616,"Vikelas, Demetrios",1835-1908,"Οθέλλος
Σαικσπείρου Τραγωδίαι Μέρος Β'",book_318_Shakespeare_William.txt
319,"Andersen, H. C. (Hans Christian)",1805-1875,"Vikelas, Demetrios",1835-1908,"Παραμύθια Δανικά, εκ των του Ανδερσεν",book_319_Andersen_H_C_Hans_Christian.txt
320,"Shakespeare, William",1564-1616,"Vikelas, Demetrios",1835-1908,Σαικσπείρου Τραγωδίαι : Μέρος Α'. Ρωμαίος και Ιουλιέτα,book_320_Shakespeare_William.txt
321,"Shakespeare, William",1564-1616,"Vikelas, Demetrios",1835-1908,"Σαικσπήρου Δράματα, Ο Βασιλιάς Ληρ",book_321_Shakespeare_William.txt
322,Virgil,71 BCE-20 BCE,"Theotokes, Konstantinos",1872-1923,Τα Γεωργικά,book_322_Virgil.txt
323,"Vizyenos, G. M. (Georgios M.)",1849-1896,,,Ποίος ήτον ο φονεύς του αδελφού μου,book_323_Vizyenos_G_M_Georgios_M.txt
324,"Vlachos, Angelos",1838-1920,,,"Ανάλεκτα Τόμος Πρώτος
Διηγήματα - Κοινωνικαί εικόνες και μελέται",book_324_Vlachos_Angelos.txt
